,modeltype,target,train_size,trues,preds,model_params,accuracy,f1_micro,f1_macro,kappa,seed
23,XGBClassifier,['second_phase_bin_1.14'],30,"[1 0 1 1 0 1 1 0 1 1 0 1 0 0 0 1 1 1 0 0 0 1 0 1 1 0 0 0 0 0 0 0 0 1 1 0 0
 1 0 0 0 1 1 1 1 1 0 0 0 1]","[1 0 1 1 1 1 1 1 1 0 0 1 0 0 0 0 1 1 0 0 0 1 0 1 1 0 1 0 0 0 0 0 0 1 1 0 0
 1 1 0 0 0 1 1 1 1 0 1 0 1]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.759180530054986, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 0.020267899750882865, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.18547427365368294, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 14, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 168, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 7.924454772524195e-08, 'reg_lambda': 2.5626284674527688e-08, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.6248227722655346, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.84,0.8399999999999999,0.8397435897435896,0.6799999999999999,2
24,RandomForestClassifier,['grain_size_bin'],10,"[0 1 1 1 1 0 1 0 1 1 0 1 0 0 0 0 0 1 0 1 1 1 1 0 0 1 1 1 1 0 1 0 1 0 0 1 1
 1 0 1 1 0 1 1 0 0 0 1 1 0]","[0 1 1 0 1 0 1 0 1 1 0 0 0 0 0 0 0 1 0 1 1 1 1 0 0 0 1 1 1 0 1 0 1 0 0 1 1
 1 0 1 1 0 1 1 0 0 0 1 1 0]","{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 4, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 258, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.94,0.94,0.939783219590526,0.88,3
25,RandomForestClassifier,['grain_size_bin'],25,"[0 0 1 0 1 0 1 0 0 0 0 1 1 0 0 1 1 0 0 1 0 1 1 1 1 0 1 1 0 0 0 1 0 0 1 1 0
 1 1 0 1 0 1 0 0 0 1 1 0 0]","[0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 1 0 0 0 1 0 1 1 1 0 0 1 1 0 0 0 1 0 0 1 1 0
 1 1 0 1 0 1 0 0 0 1 1 0 0]","{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 20, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 4, 'min_samples_split': 2, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 222, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.94,0.94,0.9388004895960833,0.8780487804878049,3
26,RandomForestClassifier,['grain_size_bin'],30,"[0 1 0 0 1 0 1 1 0 0 0 1 0 0 0 1 1 0 0 1 1 0 1 0 0 1 1 1 0 1 0 0 0 1 0 1 1
 0 1 1 0 1 1 0 0 0 1 1 0 0]","[0 1 0 0 1 0 1 1 0 0 0 1 0 0 0 1 1 0 0 1 1 0 1 0 0 1 1 1 0 1 0 0 0 1 0 1 1
 0 1 0 0 1 1 0 0 0 1 1 0 0]","{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 2, 'min_samples_split': 5, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 163, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.98,0.98,0.9797979797979798,0.9596122778675282,3
27,RandomForestClassifier,['second_phase_bin_1.14'],10,"[0 0 0 0 1 1 1 0 1 1 1 0 1 0 0 0 0 1 0 1 1 1 1 0 0 0 1 1 1 0 1 0 1 1 0 0 1
 1 0 1 1 1 1 1 0 0 0 1 1 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0]","{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'log2', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 6, 'min_samples_split': 7, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 259, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.46,0.46,0.31506849315068497,0.0,3
28,RandomForestClassifier,['second_phase_bin_1.14'],25,"[0 0 0 0 1 1 1 0 1 1 1 0 1 1 0 1 0 0 1 0 0 1 1 1 0 0 1 1 0 0 0 1 1 0 0 1 0
 1 1 0 1 0 1 0 0 0 1 1 0 0]","[0 0 0 0 1 0 1 0 0 0 1 0 1 1 0 0 0 0 0 1 0 1 1 0 0 0 1 0 0 0 0 1 0 0 0 1 0
 0 0 0 1 0 1 0 0 0 0 1 0 0]","{'bootstrap': True, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': None, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 5, 'min_samples_split': 8, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 192, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.76,0.76,0.7453310696095076,0.511400651465798,3
29,RandomForestClassifier,['second_phase_bin_1.14'],30,"[0 1 0 0 1 0 1 1 0 0 1 1 1 1 0 0 1 0 0 1 1 1 1 1 0 1 1 0 0 1 0 0 0 1 1 0 1
 0 1 0 0 1 1 0 0 0 1 1 0 0]","[0 1 0 0 1 0 0 1 0 0 1 1 0 1 0 0 1 0 0 0 0 1 1 0 0 1 0 0 0 0 0 0 0 0 1 0 1
 0 0 0 0 1 1 0 0 0 0 1 0 0]","{'bootstrap': False, 'ccp_alpha': 0.0, 'class_weight': None, 'criterion': 'gini', 'max_depth': 30, 'max_features': 'sqrt', 'max_leaf_nodes': None, 'max_samples': None, 'min_impurity_decrease': 0.0, 'min_samples_leaf': 1, 'min_samples_split': 9, 'min_weight_fraction_leaf': 0.0, 'n_estimators': 223, 'n_jobs': None, 'oob_score': False, 'random_state': None, 'verbose': 0, 'warm_start': False}",0.8,0.8000000000000002,0.7916666666666665,0.6,3
30,XGBClassifier,['grain_size_bin'],10,"[0 1 1 1 1 0 1 0 1 1 0 1 0 0 0 0 0 1 0 1 1 1 1 0 0 1 1 1 1 0 1 0 1 0 0 1 1
 1 0 1 1 0 1 1 0 0 0 1 1 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.6772324642063641, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 3.830829749279097e-08, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.21661050202040832, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 5, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 55, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.029857281532199645, 'reg_lambda': 1.2357794017849336e-06, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.6580526308578662, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.44,0.44,0.3055555555555556,0.0,3
31,XGBClassifier,['grain_size_bin'],25,"[0 0 1 0 1 0 1 0 0 0 0 1 1 0 0 1 1 0 0 1 0 1 1 1 1 0 1 1 0 0 0 1 0 0 1 1 0
 1 1 0 1 0 1 0 0 0 1 1 0 0]","[0 0 0 0 1 0 1 0 0 0 0 1 1 0 0 1 0 0 0 1 0 1 1 1 0 0 1 1 0 0 0 1 0 0 1 1 0
 1 1 0 1 0 1 0 0 0 1 1 0 0]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.5910045946325095, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 2.3744387314466914e-06, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.14659890486643895, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 4, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 125, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.00020637801710636654, 'reg_lambda': 0.06518481623005025, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.6016868982315957, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.94,0.94,0.9388004895960833,0.8780487804878049,3
32,XGBClassifier,['grain_size_bin'],30,"[0 1 0 0 1 0 1 1 0 0 0 1 0 0 0 1 1 0 0 1 1 0 1 0 0 1 1 1 0 1 0 0 0 1 0 1 1
 0 1 1 0 1 1 0 0 0 1 1 0 0]","[0 1 0 0 1 0 1 1 0 0 0 1 0 0 0 1 1 0 0 1 1 0 1 0 0 1 1 0 0 1 0 0 0 1 0 1 1
 0 1 0 0 1 1 0 0 0 1 1 0 0]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.544438150660023, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 7.70694317246381e-06, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.026517936040150708, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 7, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 58, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.1228559937509397, 'reg_lambda': 1.151766716831941e-05, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.979656461090378, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.96,0.96,0.9594155844155844,0.9189627228525121,3
33,XGBClassifier,['second_phase_bin_1.14'],10,"[0 0 0 0 1 1 1 0 1 1 1 0 1 0 0 0 0 1 0 1 1 1 1 0 0 0 1 1 1 0 1 0 1 1 0 0 1
 1 0 1 1 1 1 1 0 0 0 1 1 0]","[0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
 0 0 0 0 0 0 0 0 0 0 0 0 0]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.7707204574337674, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 1.3989048564103559e-08, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.04364228860640521, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 12, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 284, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 5.499929623044086e-05, 'reg_lambda': 7.345660574577212e-06, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.6435492034793988, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.46,0.46,0.31506849315068497,0.0,3
34,XGBClassifier,['second_phase_bin_1.14'],25,"[0 0 0 0 1 1 1 0 1 1 1 0 1 1 0 1 0 0 1 0 0 1 1 1 0 0 1 1 0 0 0 1 1 0 0 1 0
 1 1 0 1 0 1 0 0 0 1 1 0 0]","[0 0 0 0 1 1 1 0 0 0 1 0 0 1 0 0 0 0 1 1 0 1 1 1 0 1 1 0 0 0 0 1 0 0 0 1 0
 1 0 0 1 0 0 0 0 1 0 1 0 0]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.7805107012677532, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 1.3222100334449348e-07, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.04780156102052814, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 8, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 223, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.0003881483118384813, 'reg_lambda': 7.040303740819661e-06, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.8774527763557555, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.76,0.76,0.7536945812807883,0.5145631067961165,3
35,XGBClassifier,['second_phase_bin_1.14'],30,"[0 1 0 0 1 0 1 1 0 0 1 1 1 1 0 0 1 0 0 1 1 1 1 1 0 1 1 0 0 1 0 0 0 1 1 0 1
 0 1 0 0 1 1 0 0 0 1 1 0 0]","[0 1 0 0 1 0 1 1 0 0 1 1 1 1 0 0 0 1 0 0 0 1 1 1 0 1 0 0 0 0 0 0 0 1 1 0 1
 0 1 0 0 1 0 0 0 1 0 1 0 0]","{'objective': 'binary:logistic', 'use_label_encoder': None, 'base_score': None, 'booster': None, 'callbacks': None, 'colsample_bylevel': None, 'colsample_bynode': None, 'colsample_bytree': 0.895852182665579, 'early_stopping_rounds': None, 'enable_categorical': False, 'eval_metric': None, 'feature_types': None, 'gamma': 0.013632173818789856, 'gpu_id': None, 'grow_policy': None, 'importance_type': None, 'interaction_constraints': None, 'learning_rate': 0.07754712136562028, 'max_bin': None, 'max_cat_threshold': None, 'max_cat_to_onehot': None, 'max_delta_step': None, 'max_depth': 12, 'max_leaves': None, 'min_child_weight': None, 'missing': nan, 'monotone_constraints': None, 'n_estimators': 169, 'n_jobs': None, 'num_parallel_tree': None, 'predictor': None, 'random_state': None, 'reg_alpha': 0.00061745935655772, 'reg_lambda': 2.227039386696816e-05, 'sampling_method': None, 'scale_pos_weight': None, 'subsample': 0.8730392425723127, 'tree_method': None, 'validate_parameters': None, 'verbosity': None}",0.82,0.82,0.8181818181818181,0.64,3
