Precursor;Activator;Activator_carbon_ratio;Activation T (K);T adsorption (K);P adsorption (bar);CO2 ads (mmol/g);CO2ads_2bins_5050;CO2ads_4bins;CO2ads_10bins;CO2ads_7228;adsorption_all_inputs;adsorption_only_BETpore;adsorption_wo_BETpore;adsorption_all_inputs_woNAME;adsorption_wo_BETporeNAME
Empty fruit bunch;KOH;5;873;273;1;1.265;0;0;2;0;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Empty fruit bunch as precursor, activated with KOH with an activator/carbon weight ratio of 5 at an activation temperature of 873 K, and has a BET surface area of 1080.0 m2/g and a pore volume of 0.17 cm3/g;an activated carbon at 273 K and 1.0 bar, which has a BET surface area of 1080.0 m2/g and a pore volume of 0.17 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Empty fruit bunch as precursor, activated with KOH with an activator/carbon weight ratio of 5 at an activation temperature of 873 K;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 5 at an activation temperature of 873 K, and has a BET surface area of 1080.0 m2/g and a pore volume of 0.17 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 5 at an activation temperature of 873 K
Empty fruit bunch;KOH;5;1073;273;1;3.755;1;2;6;0;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Empty fruit bunch as precursor, activated with KOH with an activator/carbon weight ratio of 5 at an activation temperature of 1073 K, and has a BET surface area of 1120.0 m2/g and a pore volume of 0.43 cm3/g;an activated carbon at 273 K and 1.0 bar, which has a BET surface area of 1120.0 m2/g and a pore volume of 0.43 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Empty fruit bunch as precursor, activated with KOH with an activator/carbon weight ratio of 5 at an activation temperature of 1073 K;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 5 at an activation temperature of 1073 K, and has a BET surface area of 1120.0 m2/g and a pore volume of 0.43 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 5 at an activation temperature of 1073 K
Empty fruit bunch;KOH;5;873;298;1;1.12;0;0;1;0;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Empty fruit bunch as precursor, activated with KOH with an activator/carbon weight ratio of 5 at an activation temperature of 873 K, and has a BET surface area of 1080.0 m2/g and a pore volume of 0.17 cm3/g;an activated carbon at 298 K and 1.0 bar, which has a BET surface area of 1080.0 m2/g and a pore volume of 0.17 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Empty fruit bunch as precursor, activated with KOH with an activator/carbon weight ratio of 5 at an activation temperature of 873 K;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 5 at an activation temperature of 873 K, and has a BET surface area of 1080.0 m2/g and a pore volume of 0.17 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 5 at an activation temperature of 873 K
Empty fruit bunch;KOH;5;1073;298;1;2.634;0;1;4;0;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Empty fruit bunch as precursor, activated with KOH with an activator/carbon weight ratio of 5 at an activation temperature of 1073 K, and has a BET surface area of 1120.0 m2/g and a pore volume of 0.43 cm3/g;an activated carbon at 298 K and 1.0 bar, which has a BET surface area of 1120.0 m2/g and a pore volume of 0.43 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Empty fruit bunch as precursor, activated with KOH with an activator/carbon weight ratio of 5 at an activation temperature of 1073 K;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 5 at an activation temperature of 1073 K, and has a BET surface area of 1120.0 m2/g and a pore volume of 0.43 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 5 at an activation temperature of 1073 K
Empty fruit bunch;KOH;5;873;323;1;0.796;0;0;1;0;an activated carbon at 323 K and 1.0 bar, which has been synthetized from Empty fruit bunch as precursor, activated with KOH with an activator/carbon weight ratio of 5 at an activation temperature of 873 K, and has a BET surface area of 1080.0 m2/g and a pore volume of 0.17 cm3/g;an activated carbon at 323 K and 1.0 bar, which has a BET surface area of 1080.0 m2/g and a pore volume of 0.17 cm3/g;an activated carbon at 323 K and 1.0 bar, which has been synthetized from Empty fruit bunch as precursor, activated with KOH with an activator/carbon weight ratio of 5 at an activation temperature of 873 K;an activated carbon at 323 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 5 at an activation temperature of 873 K, and has a BET surface area of 1080.0 m2/g and a pore volume of 0.17 cm3/g;an activated carbon at 323 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 5 at an activation temperature of 873 K
Empty fruit bunch;KOH;5;1073;323;1;1.743;0;1;2;0;an activated carbon at 323 K and 1.0 bar, which has been synthetized from Empty fruit bunch as precursor, activated with KOH with an activator/carbon weight ratio of 5 at an activation temperature of 1073 K, and has a BET surface area of 1120.0 m2/g and a pore volume of 0.43 cm3/g;an activated carbon at 323 K and 1.0 bar, which has a BET surface area of 1120.0 m2/g and a pore volume of 0.43 cm3/g;an activated carbon at 323 K and 1.0 bar, which has been synthetized from Empty fruit bunch as precursor, activated with KOH with an activator/carbon weight ratio of 5 at an activation temperature of 1073 K;an activated carbon at 323 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 5 at an activation temperature of 1073 K, and has a BET surface area of 1120.0 m2/g and a pore volume of 0.43 cm3/g;an activated carbon at 323 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 5 at an activation temperature of 1073 K
Olive stone;CO2;none;1073;298;1;3.1;1;2;5;0;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K, and has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 298 K and 1.0 bar, which has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K, and has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 298 K and 1.0 bar, which has been synthetized from biomass by activation with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K
Olive stone;CO2;none;1073;373;1;0.8;0;0;1;0;an activated carbon at 373 K and 1.0 bar, which has been synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K, and has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 373 K and 1.0 bar, which has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 373 K and 1.0 bar, which has been synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K;an activated carbon at 373 K and 1.0 bar, which has been synthetized from biomass by activation with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K, and has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 373 K and 1.0 bar, which has been synthetized from biomass by activation with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K
Olive stone;CO2;none;1073;273;0.96;4.7;1;3;8;1;an activated carbon at 273 K and 0.96 bar, which has been synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K, and has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 273 K and 0.96 bar, which has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 273 K and 0.96 bar, which has been synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K;an activated carbon at 273 K and 0.96 bar, which has been synthetized from biomass by activation with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K, and has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 273 K and 0.96 bar, which has been synthetized from biomass by activation with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K
Olive stone;CO2;none;1073;273;0.83;4.4;1;3;7;1;an activated carbon at 273 K and 0.83 bar, which has been synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K, and has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 273 K and 0.83 bar, which has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 273 K and 0.83 bar, which has been synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K;an activated carbon at 273 K and 0.83 bar, which has been synthetized from biomass by activation with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K, and has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 273 K and 0.83 bar, which has been synthetized from biomass by activation with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K
Olive stone;CO2;none;1073;273;0.5;3.45;1;2;6;0;an activated carbon at 273 K and 0.5 bar, which has been synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K, and has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 273 K and 0.5 bar, which has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 273 K and 0.5 bar, which has been synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K;an activated carbon at 273 K and 0.5 bar, which has been synthetized from biomass by activation with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K, and has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 273 K and 0.5 bar, which has been synthetized from biomass by activation with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K
Olive stone;CO2;none;1073;273;0.2;2.2;0;1;4;0;an activated carbon at 273 K and 0.2 bar, which has been synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K, and has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 273 K and 0.2 bar, which has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 273 K and 0.2 bar, which has been synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K;an activated carbon at 273 K and 0.2 bar, which has been synthetized from biomass by activation with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K, and has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 273 K and 0.2 bar, which has been synthetized from biomass by activation with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K
Olive stone;CO2;none;1073;273;0.1;1.35;0;0;2;0;an activated carbon at 273 K and 0.1 bar, which has been synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K, and has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 273 K and 0.1 bar, which has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 273 K and 0.1 bar, which has been synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K;an activated carbon at 273 K and 0.1 bar, which has been synthetized from biomass by activation with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K, and has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 273 K and 0.1 bar, which has been synthetized from biomass by activation with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K
Olive stone;CO2;none;1073;298;0.9;2.9;1;2;5;0;an activated carbon at 298 K and 0.9 bar, which has been synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K, and has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 298 K and 0.9 bar, which has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 298 K and 0.9 bar, which has been synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K;an activated carbon at 298 K and 0.9 bar, which has been synthetized from biomass by activation with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K, and has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 298 K and 0.9 bar, which has been synthetized from biomass by activation with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K
Olive stone;CO2;none;1073;298;0.83;2.7;0;1;4;0;an activated carbon at 298 K and 0.83 bar, which has been synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K, and has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 298 K and 0.83 bar, which has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 298 K and 0.83 bar, which has been synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K;an activated carbon at 298 K and 0.83 bar, which has been synthetized from biomass by activation with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K, and has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 298 K and 0.83 bar, which has been synthetized from biomass by activation with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K
Olive stone;CO2;none;1073;298;0.5;2.2;0;1;4;0;an activated carbon at 298 K and 0.5 bar, which has been synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K, and has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 298 K and 0.5 bar, which has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 298 K and 0.5 bar, which has been synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K;an activated carbon at 298 K and 0.5 bar, which has been synthetized from biomass by activation with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K, and has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 298 K and 0.5 bar, which has been synthetized from biomass by activation with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K
Olive stone;CO2;none;1073;298;0.2;1.25;0;0;2;0;an activated carbon at 298 K and 0.2 bar, which has been synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K, and has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 298 K and 0.2 bar, which has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 298 K and 0.2 bar, which has been synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K;an activated carbon at 298 K and 0.2 bar, which has been synthetized from biomass by activation with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K, and has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 298 K and 0.2 bar, which has been synthetized from biomass by activation with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K
Olive stone;CO2;none;1073;298;0.1;0.75;0;0;1;0;an activated carbon at 298 K and 0.1 bar, which has been synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K, and has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 298 K and 0.1 bar, which has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 298 K and 0.1 bar, which has been synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K;an activated carbon at 298 K and 0.1 bar, which has been synthetized from biomass by activation with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K, and has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 298 K and 0.1 bar, which has been synthetized from biomass by activation with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K
Olive stone;CO2;none;1073;323;0.96;1.8;0;1;3;0;an activated carbon at 323 K and 0.96 bar, which has been synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K, and has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 323 K and 0.96 bar, which has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 323 K and 0.96 bar, which has been synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K;an activated carbon at 323 K and 0.96 bar, which has been synthetized from biomass by activation with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K, and has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 323 K and 0.96 bar, which has been synthetized from biomass by activation with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K
Olive stone;CO2;none;1073;323;0.83;1.6;0;1;2;0;an activated carbon at 323 K and 0.83 bar, which has been synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K, and has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 323 K and 0.83 bar, which has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 323 K and 0.83 bar, which has been synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K;an activated carbon at 323 K and 0.83 bar, which has been synthetized from biomass by activation with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K, and has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 323 K and 0.83 bar, which has been synthetized from biomass by activation with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K
Olive stone;CO2;none;1073;323;0.5;1.35;0;0;2;0;an activated carbon at 323 K and 0.5 bar, which has been synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K, and has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 323 K and 0.5 bar, which has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 323 K and 0.5 bar, which has been synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K;an activated carbon at 323 K and 0.5 bar, which has been synthetized from biomass by activation with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K, and has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 323 K and 0.5 bar, which has been synthetized from biomass by activation with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K
Olive stone;CO2;none;1073;323;0.2;0.65;0;0;0;0;an activated carbon at 323 K and 0.2 bar, which has been synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K, and has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 323 K and 0.2 bar, which has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 323 K and 0.2 bar, which has been synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K;an activated carbon at 323 K and 0.2 bar, which has been synthetized from biomass by activation with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K, and has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 323 K and 0.2 bar, which has been synthetized from biomass by activation with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K
Olive stone;CO2;none;1073;323;0.1;0.4;0;0;0;0;an activated carbon at 323 K and 0.1 bar, which has been synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K, and has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 323 K and 0.1 bar, which has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 323 K and 0.1 bar, which has been synthetized from Olive stone as precursor, activated with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K;an activated carbon at 323 K and 0.1 bar, which has been synthetized from biomass by activation with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K, and has a BET surface area of 1063.0 m2/g and a pore volume of 0.49 cm3/g;an activated carbon at 323 K and 0.1 bar, which has been synthetized from biomass by activation with CO2 with an activator/carbon weight ratio of none at an activation temperature of 1073 K
Black locust;KOH;6;1103;273;1;5.86;1;3;9;1;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Black locust as precursor, activated with KOH with an activator/carbon weight ratio of 6 at an activation temperature of 1103 K, and has a BET surface area of 2064.0 m2/g and a pore volume of 0.98 cm3/g;an activated carbon at 273 K and 1.0 bar, which has a BET surface area of 2064.0 m2/g and a pore volume of 0.98 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Black locust as precursor, activated with KOH with an activator/carbon weight ratio of 6 at an activation temperature of 1103 K;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 6 at an activation temperature of 1103 K, and has a BET surface area of 2064.0 m2/g and a pore volume of 0.98 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 6 at an activation temperature of 1103 K
Black locust;KOH+Ammonia;6;873;273;1;7.1;1;3;9;1;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Black locust as precursor, activated with KOH+Ammonia with an activator/carbon weight ratio of 6 at an activation temperature of 873 K, and has a BET surface area of 2511.0 m2/g and a pore volume of 1.35 cm3/g;an activated carbon at 273 K and 1.0 bar, which has a BET surface area of 2511.0 m2/g and a pore volume of 1.35 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from Black locust as precursor, activated with KOH+Ammonia with an activator/carbon weight ratio of 6 at an activation temperature of 873 K;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH+Ammonia with an activator/carbon weight ratio of 6 at an activation temperature of 873 K, and has a BET surface area of 2511.0 m2/g and a pore volume of 1.35 cm3/g;an activated carbon at 273 K and 1.0 bar, which has been synthetized from biomass by activation with KOH+Ammonia with an activator/carbon weight ratio of 6 at an activation temperature of 873 K
Black locust;KOH;6;1103;273;0.2;2.5;0;1;4;0;an activated carbon at 273 K and 0.2 bar, which has been synthetized from Black locust as precursor, activated with KOH with an activator/carbon weight ratio of 6 at an activation temperature of 1103 K, and has a BET surface area of 2064.0 m2/g and a pore volume of 0.98 cm3/g;an activated carbon at 273 K and 0.2 bar, which has a BET surface area of 2064.0 m2/g and a pore volume of 0.98 cm3/g;an activated carbon at 273 K and 0.2 bar, which has been synthetized from Black locust as precursor, activated with KOH with an activator/carbon weight ratio of 6 at an activation temperature of 1103 K;an activated carbon at 273 K and 0.2 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 6 at an activation temperature of 1103 K, and has a BET surface area of 2064.0 m2/g and a pore volume of 0.98 cm3/g;an activated carbon at 273 K and 0.2 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 6 at an activation temperature of 1103 K
Black locust;KOH;6;1103;273;0.4;3.8;1;2;6;0;an activated carbon at 273 K and 0.4 bar, which has been synthetized from Black locust as precursor, activated with KOH with an activator/carbon weight ratio of 6 at an activation temperature of 1103 K, and has a BET surface area of 2064.0 m2/g and a pore volume of 0.98 cm3/g;an activated carbon at 273 K and 0.4 bar, which has a BET surface area of 2064.0 m2/g and a pore volume of 0.98 cm3/g;an activated carbon at 273 K and 0.4 bar, which has been synthetized from Black locust as precursor, activated with KOH with an activator/carbon weight ratio of 6 at an activation temperature of 1103 K;an activated carbon at 273 K and 0.4 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 6 at an activation temperature of 1103 K, and has a BET surface area of 2064.0 m2/g and a pore volume of 0.98 cm3/g;an activated carbon at 273 K and 0.4 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 6 at an activation temperature of 1103 K
Black locust;KOH;6;1103;273;0.6;5;1;3;8;1;an activated carbon at 273 K and 0.6 bar, which has been synthetized from Black locust as precursor, activated with KOH with an activator/carbon weight ratio of 6 at an activation temperature of 1103 K, and has a BET surface area of 2064.0 m2/g and a pore volume of 0.98 cm3/g;an activated carbon at 273 K and 0.6 bar, which has a BET surface area of 2064.0 m2/g and a pore volume of 0.98 cm3/g;an activated carbon at 273 K and 0.6 bar, which has been synthetized from Black locust as precursor, activated with KOH with an activator/carbon weight ratio of 6 at an activation temperature of 1103 K;an activated carbon at 273 K and 0.6 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 6 at an activation temperature of 1103 K, and has a BET surface area of 2064.0 m2/g and a pore volume of 0.98 cm3/g;an activated carbon at 273 K and 0.6 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 6 at an activation temperature of 1103 K
Black locust;KOH;6;1103;273;0.8;5.55;1;3;9;1;an activated carbon at 273 K and 0.8 bar, which has been synthetized from Black locust as precursor, activated with KOH with an activator/carbon weight ratio of 6 at an activation temperature of 1103 K, and has a BET surface area of 2064.0 m2/g and a pore volume of 0.98 cm3/g;an activated carbon at 273 K and 0.8 bar, which has a BET surface area of 2064.0 m2/g and a pore volume of 0.98 cm3/g;an activated carbon at 273 K and 0.8 bar, which has been synthetized from Black locust as precursor, activated with KOH with an activator/carbon weight ratio of 6 at an activation temperature of 1103 K;an activated carbon at 273 K and 0.8 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 6 at an activation temperature of 1103 K, and has a BET surface area of 2064.0 m2/g and a pore volume of 0.98 cm3/g;an activated carbon at 273 K and 0.8 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 6 at an activation temperature of 1103 K
Black locust;KOH;6;1103;273;0.9;5.65;1;3;9;1;an activated carbon at 273 K and 0.9 bar, which has been synthetized from Black locust as precursor, activated with KOH with an activator/carbon weight ratio of 6 at an activation temperature of 1103 K, and has a BET surface area of 2064.0 m2/g and a pore volume of 0.98 cm3/g;an activated carbon at 273 K and 0.9 bar, which has a BET surface area of 2064.0 m2/g and a pore volume of 0.98 cm3/g;an activated carbon at 273 K and 0.9 bar, which has been synthetized from Black locust as precursor, activated with KOH with an activator/carbon weight ratio of 6 at an activation temperature of 1103 K;an activated carbon at 273 K and 0.9 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 6 at an activation temperature of 1103 K, and has a BET surface area of 2064.0 m2/g and a pore volume of 0.98 cm3/g;an activated carbon at 273 K and 0.9 bar, which has been synthetized from biomass by activation with KOH with an activator/carbon weight ratio of 6 at an activation temperature of 1103 K
